"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"CHM00058457","HANGZHOU, CH","1964-06","565","305","13","9","0","0","0","30","1","61","1.67","91","3167","0","6.11","75.2","81.5","68.8"
"CHM00058457","HANGZHOU, CH","1964-07","1246","681","4","3","0","0","0","31","26","75","1.29","102","0","0","3.14","87.0","95.9","78.0"
"CHM00058457","HANGZHOU, CH","1964-08","1827","582","5","4","0","0","0","31","23","69","2.26","97","0","0","3.27","83.7","91.6","75.9"
"CHM00058457","HANGZHOU, CH","1964-09","2243","416","12","6","0","0","0","30","14","59","4.59","97","0","0","9.96","78.9","85.9","71.8"
"CHM00058457","HANGZHOU, CH","1964-10","2311","67","20","11","0","0","0","15","0","49","1.97","87","56","56","6.26","65.4","71.1","59.6"
"CHM00058457","HANGZHOU, CH","1964-11","2311","0","4","0","0","0","0","1","0","33","0.05","71","404","348","0.20","53.4","63.3","43.5"
"CHM00058457","HANGZHOU, CH","1964-12","2311","0","8","2","0","12","0","0","0","27","0.35","62","1066","662","0.83","43.6","51.5","35.8"
"CHM00058457","HANGZHOU, CH","1965-01","0","0","5","1","0","10","0","0","0","21","0.15","62","1772","706","0.34","42.2","49.8","34.6"
"CHM00058457","HANGZHOU, CH","1965-02","0","0","15","11","0","2","0","0","0","26","1.56","66","2356","584","5.17","44.1","49.4","38.9"
"CHM00058457","HANGZHOU, CH","1965-03","0","0","14","8","0","2","0","3","0","29","0.91","74","2897","541","3.93","47.6","55.0","40.1"
"CHM00058457","HANGZHOU, CH","1965-04","3","3","17","14","0","0","0","7","0","40","1.33","75","3155","259","6.21","56.5","62.5","50.4"
"CHM00058457","HANGZHOU, CH","1965-05","188","185","9","7","0","0","0","28","3","48","1.68","94","3175","19","4.37","70.3","79.3","61.4"
"CHM00058457","HANGZHOU, CH","1965-06","461","273","9","8","0","0","0","30","2","62","1.60","93","3175","0","3.95","74.1","81.2","67.0"
"CHM00058457","HANGZHOU, CH","1965-07","1080","619","8","6","0","0","0","31","26","71","0.96","99","0","0","2.72","85.0","92.9","77.0"
"CHM00058457","HANGZHOU, CH","1965-08","1601","520","13","11","0","0","0","31","15","66","2.11","98","0","0","7.65","81.8","89.0","74.6"
"CHM00058457","HANGZHOU, CH","1965-09","1833","232","13","8","0","0","0","28","1","59","1.49","90","0","0","4.31","72.7","79.6","65.8"
"CHM00058457","HANGZHOU, CH","1965-10","1881","48","12","7","0","0","0","27","0","46","0.47","77","50","50","2.28","65.0","72.1","57.8"
"CHM00058457","HANGZHOU, CH","1965-11","1899","18","10","5","0","1","0","8","0","31","0.67","85","276","226","1.63","58.1","65.8","50.4"
"CHM00058457","HANGZHOU, CH","1965-12","1899","0","10","8","0","10","1","0","0","22","0.94","65","988","712","3.62","42.0","48.8","35.3"
"CHM00058457","HANGZHOU, CH","1966-01","0","0","12","10","0","11","0","0","0","23","0.39","65","1714","726","2.83","41.6","49.2","33.9"
"CHM00058457","HANGZHOU, CH","1966-02","0","0","8","4","0","8","0","3","0","24","0.67","75","2226","512","1.99","46.7","55.9","37.6"
"CHM00058457","HANGZHOU, CH","1966-03","8","8","16","9","0","1","0","7","0","31","0.84","82","2585","359","3.97","53.7","62.0","45.4"
"CHM00058457","HANGZHOU, CH","1966-04","52","44","17","11","0","0","0","10","0","40","1.26","85","2782","197","6.30","59.9","66.3","53.5"
